Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,seulement,only
3,3,police,police
4,4,pensais,thought
5,5,aide,help
6,6,demande,request
7,7,genre,kind
8,8,mois,month
9,9,frère,brother
10,10,laisser,let
11,11,car,because
12,12,mettre,to put
13,13,aucun,no
14,14,ville,city
15,15,chaque,each
16,16,arrivé,come
17,17,bébé,baby
18,18,longtemps,long time
19,20,vont,will
20,21,pendant,while
21,22,revoir,meet again
22,23,aucune,any
23,24,place,square
24,25,parle,speak
25,26,compris,understood
26,28,étaient,were
27,29,voici,here is
28,30,pourrais,could
29,31,affaire,case
30,32,donner,give
31,33,type,type
32,34,leurs,their
33,35,donné,given
34,36,train,train
35,37,corps,body
37,39,yeux,eyes
38,40,façon,way
39,41,écoute,listen
40,42,trouve,find
41,43,premier,first
42,44,perdu,lost
43,45,première,first
44,46,côté,side
45,47,pouvoir,power
46,48,vieux,old
47,49,sois,be
48,50,tiens,here
49,51,matin,morning
50,52,tellement,so much
51,53,enfant,child
52,54,point,point
53,55,venu,came
54,56,suite,after
55,57,pardon,sorry
56,58,venez,come
57,59,devant,in front of
58,60,vers,towards
59,61,minutes,minutes
60,62,demandé,request
61,63,chambre,bedroom
62,64,mis,placed
63,65,droit,law
64,66,aimerais,would like to
65,67,aujourd'hui,today
66,68,mari,husband
67,69,cause,cause
68,71,espère,hope
69,72,eau,water
70,73,attendez,Wait
71,74,parti,left
72,75,nouvelle,new
73,76,boulot,job
75,78,dirait,would say
76,79,terre,Earth
77,80,compte,account
78,81,donne,given
79,82,loin,far
81,84,croire,believe
82,85,chérie,sweetheart
83,86,gros,large
84,87,plutôt,rather
85,88,aura,will have
86,89,jouer,to play
